100 02AUG12 R   6  30.00  180.00                                                
103 03AUG12 C  20   3.99   79.80                                                
102 04AUG12 T   4 200.00  800.00                                                
103 08AUG12 T   5 200.00 1000.00                                                
102 09AUG12 R  15  30.00  450.00                                                
101 10AUG12 C 100   3.99  399.00                                                
101 12AUG12 R  18  30.00  540.00                                                
104 15AUG12 T  10 200.00 2000.00                                                
103 18AUG12 C   9   3.99   35.91                                                
100 22AUG12 T   3 200.00  600.00                                                
102 23AUG12 R  10  30.00  300.00                                                
100 25AUG12 C 100   3.99  399.00                                                
101 30AUG12 T   3 200.00  600.00                                                
